screen_name,text,favorite_count,retweet_count,url,id,Date,friends_count,followers_count,Post_Flag,Tweet_Flag,mediatype,Show,total_engagements,Author Type,Final Tagging,image_url,spend_level,subproperty
i_need_money00,But his own black women try to play him on Fox soul https://tco/ULgmrZDAJ7,5,2,www.twitter.com/i_need_money00/status/1568758226727886848,'1568758226727886848,9/10/2022 0:00,,,Post,Main,photo,Fox Soul,7,,Organic,http://pbs.twimg.com/media/FcVJbWTWIAUZ82w.jpg,,
RibsFat,@JelonMusks You saw how they did Ice Cube and peep the comments Fox Soul is a divestor platform,4,3,www.twitter.com/RibsFat/status/1568383812576346112,'1568383812576346112,9/9/2022 0:00,,,Post,Main,,Fox Soul,7,,Organic,,,
JiuJitsukia187,roglodyte Cynthia G Team Up With Transgendered To Attack Black Men #fba #foxsoul #queenelizabeth https://tco/ybikl3gCFY,4,3,www.twitter.com/JiuJitsukia187/status/1568260797729734656,'1568260797729734656,9/9/2022 0:00,,,Post,Main,,Fox Soul,7,,Organic,,,
Her_goldensoul,his was a perfect dissection of the fox soul discussion Cynthia G and Hope are smart BW Umar and egg head over there could not answer one question they were asked Its disingenuous how these men converse  Fox Soul Panel Review https://tco/CkutNom2Rt via @YouTube,6,1,www.twitter.com/Her_goldensoul/status/1568474336830570497,'1568474336830570497,9/10/2022 0:00,,,Post,Main,,Fox Soul,7,,Organic,,,
TheThaiFury,Fox Soul Buck Broken,6,1,www.twitter.com/TheThaiFury/status/1568413887703449602,'1568413887703449602,9/9/2022 0:00,,,Post,Main,,Fox Soul,7,,Organic,,,
Pharoah_Monk,@F3Minii @boldtiming @ctreid89 Fox soul has hired a bunch of freaks and alphabet weirdos to chair most of its broadcast programming,5,2,www.twitter.com/Pharoah_Monk/status/1568263449926598659,'1568263449926598659,9/9/2022 0:00,,,Post,Main,,Fox Soul,7,,Organic,,,
foxsoultv,End your day with some hot TEA xe2x98x95xefxb8x8f Grab your mugs cause were ready to spill it allnnDont miss an ALL NEW #TEAGifxe2x8xa6 https://tco/TLhxr76JUa,4,2,www.twitter.com/foxsoultv/status/1567593830743949315,'1567593830743949315,9/7/2022 0:00,494,6548,Post,Main,,Fox Soul,6,Show Page,Owned,,,
foxsoultv,Each and every Friday #TheFam gets in #TheHouse and you should too Have a seat at the table and join the conversation Catch an encore presentation of #TheHouse TONIGHT at 9p/6p PT only on FOX SOUL #LinkInBio https://tco/FEuhbZpVS4,3,3,www.twitter.com/foxsoultv/status/1568275817352003584,'1568275817352003584,9/9/2022 0:00,,,Post,Main,video,Fox Soul,6,Show Page,Owned,http://pbs.twimg.com/ext_tw_video_thumb/1568275634513756167/pu/img/l4T1GxauUeqmFrx_.jpg,,
foxsoultv,Whew talk about a READ Are you doing the work within #Soulmates Be sure to take time to step back and healxe2x8xa6 https://tco/RbzJ1YPwXS,3,3,www.twitter.com/foxsoultv/status/1568376372032327680,'1568376372032327680,9/9/2022 0:00,494,6548,Post,Main,,Fox Soul,6,Show Page,Owned,,,
foxsoultv,Is all REALLY fair in love and war xfx9fxa4x94nnJoin us Monday September 19th at 9 pm ET/ 6pm PT for @cheministry as we disxe2x8xa6 https://tco/lwQixXoA5k,3,2,www.twitter.com/foxsoultv/status/1568616697044807683,'1568616697044807683,9/10/2022 0:00,494,6548,Post,Main,,Fox Soul,5,Show Page,Owned,,,
